          Radius         Density           Mass          Pressure       Luminosity      Temperature     Grad
 85     5.91600e+10     6.83292e-03     2.09346e+33     4.60742e+11     3.74604e+33     4.89346e+05     3.960
 86     5.98560e+10     4.81095e-03     2.09367e+33     2.70948e+11     3.74604e+33     4.08715e+05     6.426
 87     6.05520e+10     3.08801e-03     2.09382e+33     1.40395e+11     3.74604e+33     3.29941e+05    10.969
 88     6.12480e+10     1.67844e-03     2.09392e+33     5.85055e+10     3.74604e+33     2.52962e+05    19.772
 89     6.19440e+10     6.12508e-04     2.09398e+33     1.49996e+10     3.74604e+33     1.77719e+05    36.917
 90     6.26400e+10    -3.64021e-05     2.09400e+33    -5.22448e+08     3.74604e+33     1.04155e+05    59.270
 91     6.33360e+10     8.55247e-05     2.09400e+33     3.79671e+08     3.74604e+33     3.22167e+04      -NaN
 92     6.40320e+10     3.22148e-04     2.09400e+33    -1.69348e+09     3.74604e+33    -3.81496e+04    ******
 93     6.47280e+10     6.33074e-04     2.09401e+33    -9.33365e+09             NaN    -1.06995e+05      -NaN
 94     6.54240e+10     9.99989e-04     2.09403e+33    -2.40268e+10             NaN    -1.74367e+05       NaN
 95     6.61200e+10     1.41162e-03     2.09407e+33    -4.67448e+10             NaN    -2.40315e+05       NaN
 96     6.68160e+10     1.86004e-03     2.09412e+33    -7.81432e+10             NaN    -3.04883e+05       NaN
 97     6.75120e+10     2.33930e-03     2.09420e+33    -1.18660e+11             NaN    -3.68114e+05       NaN
 98     6.82080e+10     2.84466e-03     2.09429e+33    -1.68572e+11             NaN    -4.30050e+05       NaN
 99     6.89040e+10     3.37229e-03     2.09441e+33    -2.28037e+11             NaN    -4.90732e+05       NaN
100     6.96000e+10     3.91901e-03     2.09455e+33    -2.97118e+11             NaN    -5.50197e+05       NaN
